,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1485,434,2016,Baaghi,133 min,"Action, Romance, Thriller",5.2,7912,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani
14430,435,2016,Traffic,104 min,"Adventure, Drama, Thriller",6.7,2478,Rajesh Pillai,Manoj Bajpayee,Jimmy Sheirgill,Divya Dutta
2767,436,2016,Chalk N Duster,130 min,Drama,6.5,676,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar
12476,437,2016,Sarbjit,131 min,"Biography, Drama",7.3,4497,Omung Kumar,Randeep Hooda,Aishwarya Rai Bachchan,Richa Chadha
3410,438,2016,Dangal,161 min,"Action, Biography, Drama",8.4,165074,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
4608,439,2016,Fan,142 min,"Action, Drama, Thriller",7,43273,Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Shriya Pilgaonkar
1467,440,2016,Azhar,130 min,"Biography, Drama, Sport",5.7,5328,Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai
8482,441,2016,Machines,71 min,Documentary,7.2,555,Rahul Jain,,,
2483,442,2016,Bollywood Diaries,125 min,Drama,6,257,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi
13295,443,2016,Six X,133 min,Drama,6.9,210,Chandrakant Singh,Seema Azmi,Shweta Bhardwaj,Hrishitaa Bhatt
3517,444,2016,Days of Tafree,155 min,Comedy,7.3,252,Krishnadev Yagnik,Yash Soni,Ansh Bagri,Sarabjeet Bindra
5793,445,2016,Hotel Salvation,102 min,"Comedy, Drama",7.1,2009,Shubhashish Bhutiani,Adil Hussain,Lalit Behl,Geetanjali Kulkarni
7464,446,2016,Kerry on Kutton,125 min,Drama,5.7,216,Ashok Yadav,Bhavana Singh Chauhan,Satyajeet Dubey,Aradhana Jagota
6429,447,2016,Jai Gangaajal,149 min,"Crime, Drama",5.6,2455,Prakash Jha,Priyanka Chopra Jonas,Prakash Jha,Manav Kaul
11510,448,2016,Railway Children,120 min,"Crime, Drama",8,137,Prithvi Konanur,Yash Shetty,Syed Pervez,Ramachandra Hosur
13105,449,2016,Shorgul,132 min,Drama,5.7,268,Pranav Singh,Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana
4784,450,2016,Fuddu,100 min,"Comedy, Drama",5.4,155,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar
9825,451,2016,Naam Hai Akira,137 min,"Action, Thriller",5.9,3892,A.R. Murugadoss,Sonakshi Sinha,Anurag Kashyap,Konkona Sen Sharma
14577,452,2016,Udta Punjab,148 min,"Action, Crime, Drama",7.8,28010,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor
13540,453,2016,Sultan,170 min,"Action, Drama, Sport",7,41777,Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
4725,454,2016,Fitoor,131 min,"Drama, Romance",5.4,4526,Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu
143,455,2016,A Death in the Gunj,110 min,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
5486,456,2016,Happy Bhaag Jayegi,126 min,"Comedy, Romance",6.5,5046,Mudassar Aziz,Diana Penty,Abhay Deol,Jimmy Sheirgill
3962,457,2016,Dishoom,124 min,"Action, Adventure, Comedy",5.1,7100,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
14132,458,2016,The Karma Killings,83 min,"Documentary, Crime, Mystery",6.9,169,Ram Devineni,Tushar Prakash,,
14437,459,2016,Trapped,105 min,"Drama, Thriller",7.6,11216,Vikramaditya Motwane,Rajkummar Rao,Geetanjali Thapa,Shiladitya Sen
11113,460,2016,Psycho Raman,133 min,"Crime, Drama, Thriller",7.4,13418,Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala
1405,461,2016,Autohead,97 min,"Crime, Drama",5.9,355,Rohit Mittal,Adamya,Sunny Banerjee,Ronjini Chakraborty
13855,462,2016,Te3n,136 min,"Drama, Mystery, Thriller",7.3,12118,Ribhu Dasgupta,Amitabh Bachchan,Nawazuddin Siddiqui,Vidya Balan
15022,463,2016,Wazir,103 min,"Action, Crime, Drama",7.1,17809,Bejoy Nambiar,Amitabh Bachchan,Farhan Akhtar,Aditi Rao Hydari
12086,464,2016,Saala Khadoos,109 min,"Action, Drama, Sport",7.6,11638,Sudha Kongara,Madhavan,Nassar,Radha Ravi
7089,465,2016,Kahaani 2,127 min,"Mystery, Thriller",6.6,5159,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
116,466,2016,7 Hours to Go,115 min,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
12053,467,2016,Rustom,148 min,"Crime, Drama, Thriller",7.1,24285,Dharmendra Suresh Desai,Manoj Bajpayee,Akshay Kumar,Sharad Kelkar
8233,468,2016,Lion,118 min,"Biography, Drama",8,220526,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara
9469,469,2016,Mohenjo Daro,155 min,"Action, Adventure, Drama",5.7,10903,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi
8525,470,2016,Madly,106 min,"Drama, Romance",5.4,146,Bat for Lashes,Gael Garc???a Bernal,Anurag Kashyap,Sebasti???n Silva
10813,471,2016,Phobia,112 min,"Drama, Mystery, Thriller",6.9,2791,Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya
